year,tons_thousands,note
1965,315,Rolling Thunder begins 2 March; Arc Light from June
1966,512,
1967,932,
1968,1431,peak; bombing of the North halted 31 October
1969,1388,Menu begins in Cambodia 18 March in secret
1970,977,Cambodia incursion
1971,763,Lam Son 719
1972,1110,Linebacker I and II
1973,400,through 15 August; Cambodia only after 27 January
total,7828,about 7.6-7.8 million tons; WWII all sides all theatres about 2100 thousand
